cod_proposta,cod_cliente,cod_colaborador,data_entrada_proposta,taxa_juros_mensal,valor_proposta,valor_financiamento,valor_entrada,valor_prestacao,quantidade_parcelas,carencia,status_proposta
102,859,3,2021-06-16,0.0164,107696.2338189013,199719.09,92022.8561810987,2441.637260203006,79,Média,Enviada
523,587,3,2012-12-31,0.019,42714.08019842081,51641.15,8927.069801579195,1835.9446895728747,31,Extrema,Enviada
979,778,3,2014-06-28,0.0238,104763.13438780385,157840.73,53077.595612196164,2717.979766067126,106,Alta,Enviada
1564,419,3,2013-11-10,0.0218,13502.18126848004,21466.99,7964.808731519962,1668.467893918379,9,Muito Alta,Enviada
86,938,4,2013-06-17,0.0135,3184.4418528988044,5522.97,2338.528147101196,61.338137376827305,90,Muito Alta,Enviada
209,635,4,2011-06-10,0.0142,161192.348874469,233647.2,72454.851125531,19205.78985003392,9,Extrema,Enviada
226,88,4,2010-05-08,0.0194,121138.6476684204,154297.83,33159.18233157959,2680.151133232628,109,Extrema,Enviada
543,710,4,2014-06-19,0.0199,41698.0655006476,66347.38,24649.3144993524,1081.3994492486784,74,Alta,Enviada
886,138,4,2016-06-26,0.0201,17467.397581144243,25261.08,7793.682418855757,522.5400420542683,56,Baixa,Enviada
1045,934,4,2016-05-15,0.0212,180566.23559891657,239033.99,58467.75440108343,13425.47208419198,16,Média Alta,Enviada
1566,648,4,2015-10-07,0.0165,15578.90520503972,30167.01,14588.104794960278,4056.6982695489537,4,Alta,Enviada
1573,395,4,2013-01-20,0.0125,131608.19533067904,167117.91,35509.714669320965,2490.081034346731,87,Média Alta,Enviada
23,358,5,2020-05-30,0.0113,13338.287211939802,18727.61,5389.322788060199,252.23729280744053,81,Muito Baixa,Enviada
352,249,5,2014-12-06,0.0093,27214.508618646963,33278.95,6064.441381353035,3166.1778675723363,9,Média Alta,Enviada
1291,928,5,2013-12-30,0.024,101775.63150391592,147301.56,45525.92849608408,9206.436374452744,13,Alta,Enviada
308,335,6,2022-08-09,0.0204,138074.88904624793,177330.72,39255.83095375208,3698.41267846966,71,Média Alta,Enviada
1120,114,6,2011-10-04,0.0129,6214.06796145798,9537.71,3323.6420385420183,282.8437012394485,26,Alta,Enviada
1390,806,6,2018-11-15,0.0243,103211.59065496648,124934.78,21723.189345033526,5401.365915390246,26,Média,Enviada
1639,827,6,2013-12-09,0.0129,155881.86296694752,206120.59,50238.72703305248,3091.6370449514766,82,Média,Enviada
72,983,7,2022-03-21,0.0108,60091.11003355545,109302.14,49211.029966444556,2755.599260686576,25,Baixa,Enviada
1121,572,8,2010-01-07,0.0247,185357.3926963671,234345.58,48988.18730363288,4913.899251075726,110,Média,Enviada
1669,65,8,2022-09-24,0.0179,88993.96692125249,116726.64,27732.67307874751,1851.3492638752996,111,Muito Alta,Enviada
906,787,10,2015-09-17,0.0157,106954.15487289923,183309.59,76355.43512710073,2471.989161403984,73,Alta,Enviada
1861,905,10,2012-02-20,0.021,2130.43778606104,2850.11,719.6722139389601,70.03547781504082,49,Média Alta,Enviada
1911,127,10,2021-02-17,0.0159,55943.238826784895,72010.93,16067.691173215098,1425.580833563814,62,Muito Alta,Enviada
1956,336,10,2015-11-20,0.0165,62196.84847079376,81395.72,19198.87152920624,2031.1537488044976,43,Média,Enviada
487,635,11,2015-05-05,0.0182,13134.527461582678,20036.49,6901.962538417323,355.11897276595613,62,Alta,Enviada
553,511,11,2014-04-07,0.0084,54924.83947175932,67689.85,12765.010528240691,1498.3306058184396,44,Média Alta,Enviada
87,528,12,2021-07-03,0.0178,54837.439265361165,80436.1,25598.66073463884,1182.2254527601683,99,Muito Baixa,Enviada
230,561,12,2014-06-17,0.0117,177882.89483999385,225362.93,47480.035160006126,20938.93421767477,9,Média Alta,Enviada
478,551,12,2016-01-06,0.0223,80871.28079639428,113384.93,32513.64920360572,2038.1535903656693,98,Média Alta,Enviada
1222,876,12,2018-07-18,0.0095,56134.721117012,77171.78,21037.058882988,2159.2600294926838,30,Extrema,Enviada
1413,498,12,2020-08-21,0.0177,1702.589459387937,2118.23,415.64054061206286,97.78223269064593,21,Baixa,Enviada
1728,545,12,2017-12-17,0.019,31701.490710584763,49986.53,18285.03928941524,675.6378204724116,118,Baixa,Enviada
1875,973,12,2017-05-28,0.0127,113668.2009529192,145713.86,32045.6590470808,5335.223672655114,25,Média,Enviada
53,489,13,2021-11-30,0.0123,68601.85915494779,90359.89,21758.030845052217,1305.7214052279303,85,Muito Alta,Enviada
576,905,13,2018-07-29,0.0136,74902.21894010481,108072.51,33170.29105989518,1599.374433102556,75,Muito Baixa,Enviada
673,927,13,2020-07-20,0.0213,122043.3376068094,193809.71,71766.3723931906,4187.837959209668,46,Alta,Enviada
875,429,13,2019-02-04,0.0169,142939.09757253266,185095.87,42156.77242746734,73286.36219254446,2,Média Alta,Enviada
1159,332,15,2017-08-14,0.0123,12489.678561473642,19344.59,6854.911438526358,326.5556549085264,52,Alta,Enviada
1339,429,15,2015-11-10,0.0194,36926.128632885135,44548.77,7622.641367114855,996.8298490788734,66,Muito Baixa,Enviada
1846,642,15,2018-02-13,0.0119,117394.8148182202,227027.5,109632.6851817798,7668.4799353578765,17,Baixa,Enviada
22,355,16,2021-05-14,0.0087,31123.47279840081,42496.51,11373.037201599194,496.49445557793456,91,Extrema,Enviada
46,575,16,2019-03-14,0.0209,43183.00211008568,78427.34,35244.33788991431,986.6998789664083,119,Extrema,Enviada
839,174,16,2019-10-05,0.0223,145336.82141844125,195421.72,50084.89858155875,16375.16141397054,10,Média,Enviada
896,705,16,2012-04-24,0.0101,114731.99919586215,216856.25,102124.25080413785,1838.6720458588352,99,Muito Alta,Enviada
1251,533,16,2017-04-23,0.0195,26362.311548648635,33955.36,7593.048451351363,1673.6909362272384,19,Alta,Enviada
1393,853,16,2012-06-05,0.0131,30487.987980881837,52975.78,22487.79201911817,823.3383889201396,51,Muito Baixa,Enviada
1540,984,16,2022-03-17,0.0237,134454.66257064315,170958.4,36503.73742935684,3953.80658861034,70,Média Alta,Enviada
1799,688,16,2015-01-14,0.0101,152770.39109564296,208553.81,55783.41890435703,2273.2261430182,113,Média,Enviada
483,28,17,2015-04-03,0.0106,13056.935826796936,18009.22,4952.284173203065,285.15707794359,63,Média Alta,Enviada
508,857,17,2017-08-21,0.0082,21295.35719573563,40141.99,18846.63280426437,286.7158221716901,115,Baixa,Enviada
687,2,17,2014-06-18,0.0184,59582.46681170638,89576.9,29994.433188293617,1263.2529940049787,111,Média Alta,Enviada
1602,858,17,2017-08-01,0.0225,12469.460922072223,20343.34,7873.879077927777,322.158143824049,92,Extrema,Enviada
1815,192,17,2019-07-25,0.0216,57306.66485516789,77305.08,19998.415144832117,58544.48881603935,1,Muito Baixa,Enviada
104,921,18,2012-04-02,0.019,19286.33373442384,35071.35,15785.01626557616,419.33347383282194,110,Alta,Enviada
231,189,18,2016-12-10,0.0218,4663.686694664481,8762.78,4099.093305335519,113.17550517714643,106,Média,Enviada
302,448,18,2013-02-16,0.0133,206514.6355586985,246916.06,40401.42444130151,8172.77493894318,31,Extrema,Enviada
306,813,18,2011-03-31,0.0195,61031.81349235663,102755.99,41724.176507643366,6776.697433884572,10,Muito Alta,Enviada
353,750,18,2012-04-15,0.0153,108348.98917333643,197148.24,88799.25082666356,3856.772418828237,37,Alta,Enviada
359,903,18,2012-05-06,0.0165,112299.60438694364,167978.57,55678.96561305635,2657.7066212703166,73,Muito Alta,Enviada
505,853,18,2011-02-18,0.0087,133575.19723012083,228888.78,95313.58276987918,2247.9923110642244,84,Média,Enviada
1466,105,18,2015-08-16,0.0182,101145.61793470164,194336.22,93190.60206529837,2263.8858304850987,93,Baixa,Enviada
1914,523,18,2017-07-15,0.0084,173873.84123518324,225277.05,51403.208764816736,3104.539232794323,76,Média,Enviada
1920,516,18,2020-02-21,0.0203,53781.12802719869,63393.69,9612.561972801315,1475.6555545075173,67,Extrema,Enviada
88,194,19,2012-10-03,0.0105,70119.78296649075,134983.88,64864.097033509264,3738.112996164916,21,Extrema,Enviada
413,715,19,2017-04-11,0.0119,18053.35298716501,33305.88,15252.527012834988,1120.146662922147,18,Muito Baixa,Enviada
535,367,19,2017-10-17,0.0175,143356.77148353576,183308.52,39951.748516464206,3236.780195089784,86,Baixa,Enviada
552,804,19,2018-10-13,0.0139,104362.52984536126,132399.37,28036.84015463873,1956.384921418878,98,Alta,Enviada
685,845,19,2011-05-15,0.0103,49646.842500857805,91935.02,42288.17749914219,1063.150202886981,64,Média Alta,Enviada
1126,213,19,2021-03-04,0.0095,87235.55141431365,103873.9,16638.34858568636,44240.308484548565,2,Muito Alta,Enviada
1113,70,20,2021-01-06,0.0201,71453.78471308728,104460.86,33007.07528691272,1663.614520064261,100,Alta,Enviada
180,641,21,2013-09-11,0.0192,162205.41253518616,233950.18,71744.76746481382,3769.6329290756207,92,Muito Alta,Enviada
1515,845,21,2018-09-24,0.0143,51909.58353007262,67405.3,15495.716469927384,1816.4719115400865,37,Média,Enviada
289,175,22,2013-12-17,0.0195,37514.32526016475,67230.7,29716.37473983525,811.47758370223,120,Alta,Enviada
467,522,22,2010-04-07,0.0178,150255.60479496623,222421.41,72165.80520503377,9829.546738512563,18,Extrema,Enviada
1235,359,22,2021-01-08,0.0116,187941.96506421253,225117.54,37175.57493578748,190122.09185895647,1,Extrema,Enviada
1555,562,22,2017-05-05,0.0102,125720.202896211,211913.34,86193.137103789,2186.73583371973,87,Extrema,Enviada
1726,56,22,2014-05-24,0.0149,57910.76238685234,77127.49,19216.727613147665,3691.729610606256,18,Alta,Enviada
375,426,23,2021-05-20,0.0093,3655.89945167303,4480.41,824.5105483269699,61.02007156057369,88,Muito Alta,Enviada
540,132,23,2019-01-09,0.0199,161533.18896088397,194033.52,32500.331039116023,83185.39464314436,2,Média,Enviada
1227,58,23,2016-04-05,0.0141,100950.48054376376,188223.7,87273.21945623624,2478.365850306163,61,Muito Baixa,Enviada
1337,647,23,2014-07-06,0.024,80642.26867292522,161191.34,80549.07132707478,2162.6582318639007,95,Muito Baixa,Enviada
448,789,24,2017-11-11,0.0173,32661.584928072563,50022.95,17361.365071927434,833.863090153753,66,Alta,Enviada
1327,493,24,2014-10-23,0.0105,119643.0470874498,148560.12,28917.0729125502,2445.976186917068,69,Alta,Enviada
1409,95,24,2011-06-21,0.0179,36968.34746808552,44757.84,7789.492531914479,788.5591931432637,103,Alta,Enviada
1579,243,24,2015-03-12,0.0152,52774.415238818816,67777.71,15003.29476118118,1875.353905125288,37,Muito Alta,Enviada
165,651,25,2011-11-07,0.0222,188359.28180843248,232132.96,43773.67819156752,7268.7431278747235,39,Média Alta,Enviada
1608,984,25,2022-06-05,0.0195,140012.8725510757,177600.69,37587.817448924296,3818.480958682699,65,Muito Baixa,Enviada
1766,827,25,2016-08-27,0.0129,171210.94207560428,216152.24,44941.297924395694,3120.1921855485866,96,Muito Baixa,Enviada
1238,626,26,2021-08-17,0.0122,111520.3210258262,192191.31,80670.98897417377,2011.947945817304,93,Média,Enviada
1518,504,26,2022-03-19,0.0177,133231.814346518,164079.95,30848.135653482037,3622.3786173548224,60,Muito Alta,Enviada
1718,379,26,2011-08-21,0.0117,162981.10121148446,207719.18,44738.07878851552,3057.8702008329974,84,Alta,Enviada
1739,317,26,2012-06-22,0.0203,25262.256880560293,29962.47,4700.213119439708,708.635222116725,64,Média Alta,Enviada
109,902,27,2013-10-18,0.025,155048.81836292666,208071.45,53022.63163707336,9580.052089761311,21,Baixa,Enviada
567,93,27,2017-07-08,0.0103,174401.49083915475,211234.22,36832.72916084524,3410.4608725996486,73,Muito Baixa,Enviada
598,430,27,2022-11-24,0.023,33410.549209783734,44022.51,10611.960790216268,1374.7701526909725,36,Baixa,Enviada
660,897,27,2017-09-07,0.0144,33846.45477797238,64823.8,30977.345222027616,1011.2934497274858,46,Alta,Enviada
730,897,27,2016-04-29,0.0249,75215.68749338122,129792.02,54576.33250661878,1993.6399052303964,114,Alta,Enviada
1214,371,27,2019-08-14,0.0115,88691.99878299182,149447.05,60755.05121700816,2342.33053118566,50,Muito Alta,Enviada
1370,808,27,2013-08-10,0.0223,147410.7044933235,193379.48,45968.77550667653,4259.019742984657,67,Muito Alta,Enviada
1457,770,27,2014-07-04,0.0194,16914.9632037103,21365.48,4450.516796289698,467.4834951333916,63,Média Alta,Enviada
1477,624,27,2016-07-28,0.0161,10901.782972981297,15435.03,4533.247027018705,212.12769354643208,110,Muito Alta,Enviada
1489,584,27,2019-09-22,0.0163,18896.794599992005,26491.41,7594.615400007996,570.6156561165153,48,Muito Alta,Enviada
1547,638,27,2017-01-07,0.0233,44760.81183510224,61835.32,17074.50816489776,1541.6170434789894,49,Muito Alta,Enviada
1820,358,27,2022-11-26,0.0245,21065.284777862697,25728.28,4662.9952221373005,587.6434665330809,87,Muito Baixa,Enviada
1889,436,27,2016-08-17,0.0207,75825.3135123057,113859.74,38034.42648769431,9320.833531252449,9,Extrema,Enviada
1975,643,27,2015-06-05,0.0182,100319.06469554172,180144.45,79825.3853044583,26231.185497787254,4,Muito Alta,Enviada
432,384,28,2017-06-15,0.0148,80997.7405171533,149598.05,68600.30948284669,1966.889148914612,64,Muito Alta,Enviada
513,82,28,2019-01-30,0.0129,122515.33044692923,219782.2,97266.86955307075,3205.5014058203565,53,Média,Enviada
580,35,29,2017-04-17,0.0149,166473.2378327896,229462.99,62989.752167210376,5885.494165556229,37,Muito Baixa,Enviada
605,20,29,2014-08-17,0.0083,82690.20068228297,120311.64,37621.43931771704,1394.2325922982072,82,Média Alta,Enviada
895,674,29,2020-07-24,0.021,94843.8532226259,140271.31,45427.4567773741,2363.479287375019,89,Baixa,Enviada
922,327,29,2010-08-16,0.0229,159260.1081056693,223323.45,64063.341894330726,10014.52403534476,20,Média,Enviada
935,593,30,2018-05-25,0.0192,166721.96418930966,233975.8,67253.83581069033,3923.0617290161217,89,Alta,Enviada
1411,107,30,2014-05-16,0.017,74705.4016096954,118591.27,43885.8683903046,1590.6886477053647,95,Alta,Enviada
1679,845,30,2021-12-05,0.0146,15546.41522480826,20258.27,4711.854775191739,597.0360266707742,33,Muito Baixa,Enviada
1859,506,30,2016-02-10,0.0182,102314.91752845944,179501.93,77187.01247154054,4830.159062828688,27,Muito Alta,Enviada
428,737,31,2015-11-08,0.0219,102033.6751480932,167087.88,65054.2048519068,4374.934951633246,33,Média Alta,Enviada
442,255,31,2014-09-30,0.0235,36427.42273157709,71192.8,34765.37726842291,931.8799208839987,108,Extrema,Enviada
1132,819,31,2017-05-07,0.0212,100487.26305907837,124271.71,23784.44694092165,9572.20076977726,12,Alta,Enviada
1404,424,31,2021-08-11,0.0099,72467.681702234,90672.57,18204.888297766018,1386.0500680513214,74,Muito Baixa,Enviada
1793,587,31,2013-05-23,0.0215,110456.1642441406,135753.05,25296.88575585939,4019.985633760079,42,Baixa,Enviada
1876,769,31,2015-08-19,0.0082,74808.23512438923,91810.14,17001.904875610777,1012.5307103321138,114,Baixa,Enviada
32,684,32,2019-05-19,0.0177,150541.80615265638,214230.17,63688.36384734365,12234.654513722122,14,Média,Enviada
841,266,32,2022-11-25,0.022,97160.59481641308,175982.06,78821.46518358692,3297.896484707114,48,Média Alta,Enviada
1074,574,32,2019-01-27,0.0096,20823.66311324863,38488.39,17664.72688675137,851.6711799128204,28,Média Alta,Enviada
1118,776,32,2017-10-21,0.01,34437.4429849607,47305.91,12868.467015039309,1563.692481363542,25,Média,Enviada
1170,523,32,2011-04-10,0.0111,36747.67822405832,50821.87,14074.191775941685,591.4414943293456,106,Alta,Enviada
1616,15,32,2016-11-22,0.0225,3962.7425689358793,4673.56,710.8174310641211,248.23440043864073,20,Alta,Enviada
1655,469,32,2014-05-23,0.0087,200491.47468614468,244528.99,44037.51531385533,3295.168984770048,87,Muito Baixa,Enviada
1893,752,32,2012-03-30,0.0116,103142.28335280152,124541.11,21398.82664719847,1712.5371762768536,104,Muito Baixa,Enviada
1969,292,32,2016-07-12,0.0223,125222.81502925216,211143.14,85920.32497074785,8931.15761490337,17,Média Alta,Enviada
784,516,33,2011-10-26,0.0111,80533.99369369967,151718.99,71184.99630630032,1410.457998856696,91,Alta,Enviada
1099,621,33,2015-10-10,0.0157,11569.135340000375,19598.82,8029.684659999622,258.25593005553065,78,Média Alta,Enviada
1512,895,33,2020-11-19,0.0179,99892.9732048055,174480.38,74587.4067951945,5156.647273335908,24,Média Alta,Enviada
1983,254,33,2013-05-10,0.0184,113321.08355566605,146660.88,33339.79644433397,5883.366555052726,24,Alta,Enviada
64,137,34,2019-10-06,0.0114,8110.3600801541825,11113.79,3003.429919845817,1406.1700076791576,6,Extrema,Enviada
381,36,34,2014-11-25,0.0115,26168.86595181735,32190.33,6021.464048182649,449.0627286186648,97,Alta,Enviada
424,499,34,2013-06-06,0.0165,110943.30876533993,133251.92,22308.611234660104,3512.3126489238234,45,Baixa,Enviada
548,460,34,2010-08-01,0.0081,42091.196254667615,84055.68,41964.48374533238,1385.9505467784952,35,Muito Alta,Enviada
912,602,34,2017-08-03,0.0206,5554.133271793991,8454.51,2900.3767282060094,175.0394163063748,52,Extrema,Enviada
704,985,35,2012-10-13,0.0131,23099.804457005564,29012.83,5913.025542994438,671.7632973056318,46,Baixa,Enviada
1269,406,35,2016-12-02,0.0126,17118.326421544214,25249.57,8131.243578455786,776.2231361754176,26,Média,Enviada
149,672,36,2013-01-12,0.0191,4958.792615136448,5938.39,979.5973848635523,107.6465006202358,112,Alta,Enviada
956,551,36,2017-11-22,0.0153,37977.112584075854,48504.95,10527.83741592414,693.11754633594,120,Média Alta,Enviada
1066,534,36,2019-11-22,0.0104,21706.493700457337,42951.18,21244.686299542664,1399.6616545774505,17,Extrema,Enviada
1145,849,36,2021-01-11,0.0202,134658.77349817395,175034.36,40375.586501826045,3358.819336146986,83,Muito Alta,Enviada
200,772,37,2019-03-27,0.0183,46919.14902249276,60001.44,13082.290977507251,988.2772914661152,112,Baixa,Enviada
516,644,37,2019-08-11,0.0218,91145.0426280043,110898.6,19753.557371995703,2260.0194472781486,98,Muito Baixa,Enviada
588,699,37,2019-08-02,0.0106,136688.4513002176,243963.78,107275.3286997824,2364.142066365003,90,Extrema,Enviada
972,711,37,2010-06-23,0.0221,105666.04639222918,159567.04,53900.99360777082,2840.3368431673075,79,Extrema,Enviada
982,936,37,2018-04-02,0.0138,49850.37364194078,65947.41,16097.036358059222,1071.1313875218104,75,Alta,Enviada
1067,986,37,2022-09-04,0.0093,104304.79934651808,190050.37,85745.57065348192,1740.9358228720364,88,Baixa,Enviada
1322,128,37,2013-12-09,0.018,134672.43796268298,193374.09,58701.652037317006,2796.609588125072,113,Média Alta,Enviada
1781,578,37,2018-11-06,0.0241,58488.3868282093,116856.02,58367.6331717907,2896.47743710678,28,Muito Alta,Enviada
1814,870,37,2012-05-18,0.0127,56948.17012203003,81043.3,24095.12987796997,1035.45805281836,95,Média Alta,Enviada
1842,214,37,2022-02-22,0.0201,98835.31270010024,146726.0,47890.68729989976,4650.257833226291,28,Extrema,Enviada
1932,410,37,2016-08-22,0.0211,138943.56029481842,199461.47,60517.90970518158,3291.5990124933896,106,Baixa,Enviada
824,843,38,2011-08-09,0.0208,72284.2765296629,126768.15,54483.873470337116,4644.505707278032,19,Média,Enviada
162,289,39,2018-11-25,0.02,32620.62395882276,46158.58,13537.956041177242,1783.3074545598945,23,Extrema,Enviada
215,245,39,2021-02-28,0.0103,64763.50971378154,108663.15,43899.640286218455,1023.147779802814,103,Baixa,Enviada
681,986,39,2020-06-24,0.0112,79704.95543777297,108450.48,28745.524562227027,3950.1868632607434,23,Média Alta,Enviada
1462,252,39,2022-01-10,0.009,115885.31650407217,210424.71,94539.39349592783,3971.626297326344,34,Muito Alta,Enviada
1764,828,39,2021-12-30,0.0161,53741.00907530077,76298.13,22557.12092469924,1029.2198185048064,115,Média,Enviada
182,27,40,2019-12-16,0.0089,90173.75959472296,127367.03,37193.270405277035,3541.6959844319067,29,Média,Enviada
1254,607,40,2014-02-11,0.0215,21075.99097771049,39323.96,18247.969022289504,1009.703271223082,28,Média,Enviada
1260,662,40,2012-12-10,0.0092,46674.14633784262,90265.84,43591.69366215738,1646.3630859459738,33,Alta,Enviada
1845,528,40,2021-08-11,0.0129,51805.022078411916,97392.24,45587.2179215881,949.1616091792806,95,Extrema,Enviada
1870,786,40,2021-07-04,0.0236,67383.1533024392,99727.99,32344.836697560808,2849.9905208082487,35,Média,Enviada
691,713,41,2012-08-16,0.008,141939.18276367668,245172.53,103233.34723632332,2949.7374329549048,61,Muito Baixa,Enviada
1124,144,41,2016-02-18,0.0226,3067.281234308288,4776.17,1708.8887656917125,172.47800081221413,23,Muito Alta,Enviada
1314,93,41,2010-01-26,0.0183,27087.446115883464,37943.1,10855.653884116537,603.458885820771,95,Baixa,Enviada
1638,784,41,2010-07-18,0.0186,154093.1670624633,224203.36,70110.19293753667,3901.087574362356,72,Média,Enviada
1650,638,41,2018-11-29,0.021,71752.23991189167,104875.69,33123.450088108344,1645.5519232382755,119,Extrema,Enviada
1686,800,41,2018-05-06,0.0111,177277.25266585135,232496.1,55218.847334148646,3047.4429712817832,94,Média Alta,Enviada
325,290,42,2012-06-04,0.0127,59307.6476636008,81807.65,22500.0023363992,1767.721500268049,44,Alta,Enviada
338,712,42,2020-10-02,0.0229,80924.74013078696,130001.32,49076.579869213056,2678.3411979114285,52,Média,Enviada
1177,828,42,2016-09-02,0.0145,36533.84497296392,60981.72,24447.875027036083,3617.13801942349,11,Muito Alta,Enviada
584,355,43,2022-01-02,0.018,50411.28947856244,95061.64,44650.35052143756,1668.448730806571,44,Baixa,Enviada
1009,472,43,2021-04-14,0.0121,92799.6843131943,110491.76,17692.0756868057,4646.420518513603,23,Muito Alta,Enviada
1246,736,43,2020-03-15,0.0116,188058.531244489,241025.27,52966.738755511,4419.380507677489,59,Alta,Enviada
1570,118,43,2013-01-17,0.0176,188145.66552012615,237620.42,49474.75447987383,8126.010451275795,30,Muito Alta,Enviada
1759,42,43,2021-01-19,0.0235,164590.18155813773,199065.77,34475.58844186226,8780.729871596395,25,Muito Alta,Enviada
1818,807,43,2015-04-22,0.0234,99051.99053839168,173346.11,74294.1194616083,13720.433184911266,8,Média,Enviada
599,425,44,2011-04-30,0.008,169146.00916574016,241497.6,72351.59083425986,2209.0125820634617,119,Média Alta,Enviada
213,543,45,2017-08-19,0.0137,119207.20013517264,161992.55,42785.34986482736,2217.6030216718127,98,Extrema,Enviada
313,410,45,2010-12-26,0.0243,53872.9058811792,98115.43,44242.5241188208,1521.5642538357713,82,Alta,Enviada
323,995,45,2017-05-06,0.0212,79058.0190799803,122381.21,43323.19092001971,1916.16983008086,99,Média Alta,Enviada
725,74,45,2013-10-30,0.0164,34692.12398494691,50829.7,16137.576015053086,904.1420488087009,61,Média Alta,Enviada
854,69,45,2011-10-17,0.0088,142570.8464176925,249417.73,106846.88358230752,4531.341445123659,37,Extrema,Enviada
1038,869,45,2021-10-11,0.0242,110637.03618773294,151119.98,40482.94381226706,5006.8653863786685,32,Extrema,Enviada
1055,487,45,2018-01-03,0.0113,47878.02000616604,86591.03,38713.00999383396,1222.6291279811608,52,Média Alta,Enviada
1507,442,45,2016-06-28,0.0245,44850.46464545816,74367.28,29516.81535454184,4700.830597101748,11,Muito Alta,Enviada
1604,951,45,2012-05-08,0.0214,156615.4735418155,187324.21,30708.73645818448,4336.572594511661,70,Muito Baixa,Enviada
1635,309,45,2016-01-01,0.0174,124807.58701471894,156702.31,31894.722985281063,2767.8286238223736,89,Baixa,Enviada
1682,561,45,2012-08-16,0.0111,101157.38784013974,141781.5,40624.112159860255,4824.425192129084,24,Muito Baixa,Enviada
610,99,46,2013-06-14,0.0222,32896.76183346387,39518.72,6621.95816653613,826.3969146101188,98,Média,Enviada
767,791,46,2012-04-22,0.0167,86229.17572184029,150698.48,64469.304278159725,22464.763453561915,4,Alta,Enviada
946,600,46,2020-12-26,0.0237,10416.906450775205,15278.88,4861.973549224796,311.786984098543,67,Média Alta,Enviada
978,659,46,2013-11-19,0.0146,123652.69758989046,229884.11,106231.41241010952,2958.553251624489,65,Média,Enviada
1475,645,46,2012-03-25,0.0229,112197.95459581017,134935.01,22737.055404189843,2845.6195131463114,103,Média Alta,Enviada
1936,143,46,2017-09-13,0.0172,68323.01943043644,84116.03,15793.01056956356,2297.8170685445725,42,Muito Alta,Enviada
427,671,47,2016-07-18,0.0085,161195.63013901596,219424.0,58228.36986098404,3165.603447218988,67,Extrema,Enviada
882,165,47,2013-01-05,0.0182,130289.14109436228,158741.84,28452.698905637724,15825.605840704333,9,Alta,Enviada
437,646,48,2017-07-01,0.0223,102471.70590344824,139788.66,37316.95409655176,3315.1492553124363,53,Baixa,Enviada
1597,256,48,2011-02-10,0.0123,31638.696867418657,48318.0,16679.303132581343,3381.8293554476904,10,Muito Alta,Enviada
1994,222,48,2012-03-10,0.0146,182080.64465346583,225724.15,43643.505346534126,3505.2624450964777,98,Média Alta,Enviada
491,193,49,2014-12-18,0.0153,69834.69002322374,126972.97,57138.279976776255,1335.561592294921,106,Média,Enviada
629,872,49,2016-11-16,0.0214,45029.85772514604,58377.64,13347.78227485396,1198.3294575527088,77,Baixa,Enviada
973,754,49,2018-09-21,0.0107,112058.1295182544,216639.65,104581.52048174558,2161.7886287752867,76,Extrema,Enviada
1164,276,49,2022-09-15,0.0178,81768.63908504267,163246.11,81477.47091495732,1709.8162381333298,108,Baixa,Enviada
1186,922,49,2012-06-22,0.0149,103774.63780610992,126481.67,22707.03219389008,1904.253882976877,113,Alta,Enviada
