cod_transacao,num_conta,data_transacao,nome_transacao,valor_transacao,dia_da_semana
53075,516,2022-12-29,Saque,-520.0,Quinta-feira
14511,772,2018-02-28,Saque,-195.0,Quarta-feira
16095,772,2018-03-02,Saque,-300.0,Sexta-feira
32383,772,2020-05-31,Saque,-205.0,Domingo
13629,5,2016-01-01,Saque,-50.0,Sexta-feira
21656,5,2016-02-20,Saque,-170.0,Sábado
46080,5,2017-08-15,Saque,-275.0,Terça-feira
51579,5,2017-09-13,Saque,-390.0,Quarta-feira
64937,5,2018-06-10,Saque,-185.0,Domingo
68430,5,2018-07-24,Saque,-515.0,Terça-feira
8427,261,2016-05-10,Saque,-105.0,Terça-feira
18786,517,2021-03-17,Saque,-195.0,Quarta-feira
30913,517,2022-08-11,Saque,-310.0,Quinta-feira
67325,517,2022-12-29,Saque,-210.0,Quinta-feira
67670,517,2022-12-29,Saque,-65.0,Quinta-feira
8469,773,2018-03-16,Saque,-235.0,Sexta-feira
35187,773,2020-02-09,Saque,-170.0,Domingo
49018,773,2020-04-27,Saque,-155.0,Segunda-feira
51264,773,2020-06-20,Saque,-315.0,Sábado
62479,773,2020-07-05,Saque,-350.0,Domingo
17220,6,2010-10-04,Saque,-310.0,Segunda-feira
28307,6,2013-10-20,Saque,-105.0,Domingo
56011,6,2016-03-03,Saque,-125.0,Quinta-feira
62369,6,2016-09-24,Saque,-35.0,Sábado
68342,6,2016-10-02,Saque,-570.0,Domingo
19072,262,2021-08-08,Saque,-100.0,Domingo
39236,262,2022-12-11,Saque,-45.0,Domingo
57340,262,2022-12-29,Saque,-20.0,Quinta-feira
15972,518,2020-02-24,Saque,-100.0,Segunda-feira
22464,518,2020-04-07,Saque,-510.0,Terça-feira
23183,518,2020-04-15,Saque,-155.0,Quarta-feira
29191,518,2021-02-13,Saque,-170.0,Sábado
6423,774,2018-09-06,Saque,-305.0,Quinta-feira
16296,774,2019-05-31,Saque,-200.0,Sexta-feira
30517,774,2019-07-06,Saque,-155.0,Sábado
33510,774,2019-08-01,Saque,-255.0,Quinta-feira
7673,7,2022-03-24,Saque,-145.0,Quinta-feira
9816,7,2022-06-19,Saque,-145.0,Domingo
23723,7,2022-10-17,Saque,-165.0,Segunda-feira
59321,7,2022-12-30,Saque,-125.0,Sexta-feira
71149,263,2022-12-30,Saque,-120.0,Sexta-feira
39583,775,2019-10-31,Saque,-3085.0,Quinta-feira
3465,8,2021-11-15,Saque,-80.0,Segunda-feira
34732,8,2022-12-03,Saque,-55.0,Sábado
66930,8,2022-12-30,Saque,-190.0,Sexta-feira
13173,520,2021-02-03,Saque,-135.0,Quarta-feira
19295,520,2021-03-06,Saque,-125.0,Sábado
21769,520,2021-08-03,Saque,-215.0,Terça-feira
33666,520,2021-12-18,Saque,-110.0,Sábado
52095,776,2022-12-29,Saque,-90.0,Quinta-feira
12181,9,2022-12-30,Saque,-265.0,Sexta-feira
44978,9,2022-12-30,Saque,-85.0,Sexta-feira
59499,9,2022-12-30,Saque,-575.0,Sexta-feira
32179,265,2020-03-25,Saque,-95.0,Quarta-feira
54854,265,2021-01-08,Saque,-440.0,Sexta-feira
55815,265,2022-09-15,Saque,-285.0,Quinta-feira
8052,521,2022-11-17,Saque,-160.0,Quinta-feira
30093,521,2022-12-29,Saque,-365.0,Quinta-feira
48929,521,2022-12-30,Saque,-100.0,Sexta-feira
51308,777,2022-12-29,Saque,-140.0,Quinta-feira
59011,777,2022-12-29,Saque,-80.0,Quinta-feira
22540,10,2021-05-12,Saque,-130.0,Quarta-feira
29438,10,2022-06-12,Saque,-80.0,Domingo
44734,10,2022-12-27,Saque,-445.0,Terça-feira
12388,266,2016-10-11,Saque,-40.0,Terça-feira
15810,266,2018-12-05,Saque,-210.0,Quarta-feira
24977,266,2020-02-02,Saque,-180.0,Domingo
27283,266,2020-02-16,Saque,-1140.0,Domingo
38718,266,2020-07-03,Saque,-270.0,Sexta-feira
43848,266,2020-10-19,Saque,-120.0,Segunda-feira
44722,266,2020-10-19,Saque,-50.0,Segunda-feira
36117,522,2018-04-23,Saque,-300.0,Segunda-feira
56909,522,2020-08-24,Saque,-75.0,Segunda-feira
18149,11,2012-08-01,Saque,-235.0,Quarta-feira
38618,11,2014-09-15,Saque,-145.0,Segunda-feira
44427,11,2014-09-16,Saque,-175.0,Terça-feira
56189,11,2022-12-19,Saque,-655.0,Segunda-feira
63414,11,2022-12-29,Saque,-95.0,Quinta-feira
22955,267,2022-12-29,Saque,-840.0,Quinta-feira
46180,267,2022-12-30,Saque,-75.0,Sexta-feira
3645,523,2013-06-02,Saque,-65.0,Domingo
38984,523,2013-12-29,Saque,-55.0,Domingo
42980,523,2013-12-30,Saque,-95.0,Segunda-feira
58561,523,2014-06-06,Saque,-230.0,Sexta-feira
14936,779,2014-08-07,Saque,-45.0,Quinta-feira
15752,779,2014-08-11,Saque,-210.0,Segunda-feira
33537,779,2015-01-17,Saque,-115.0,Sábado
35323,779,2016-07-28,Saque,-240.0,Quinta-feira
53676,779,2020-09-14,Saque,-240.0,Segunda-feira
65848,779,2021-03-23,Saque,-65.0,Terça-feira
66934,779,2021-03-24,Saque,-100.0,Quarta-feira
6103,12,2016-02-06,Saque,-90.0,Sábado
37428,12,2017-03-29,Saque,-45.0,Quarta-feira
17606,524,2022-08-19,Saque,-255.0,Sexta-feira
65455,524,2022-12-29,Saque,-115.0,Quinta-feira
9687,780,2018-06-03,Saque,-250.0,Domingo
12757,780,2018-06-06,Saque,-370.0,Quarta-feira
43121,780,2021-11-01,Saque,-690.0,Segunda-feira
65293,780,2022-01-18,Saque,-145.0,Terça-feira
1798,13,2023-01-08,Saque,-20.0,Domingo
27639,269,2018-05-25,Saque,-25.0,Sexta-feira
33570,269,2018-08-14,Saque,-225.0,Terça-feira
54788,269,2019-09-09,Saque,-70.0,Segunda-feira
56452,269,2019-11-07,Saque,-350.0,Quinta-feira
60876,269,2019-11-18,Saque,-215.0,Segunda-feira
43403,525,2016-06-03,Saque,-190.0,Sexta-feira
45386,525,2016-06-15,Saque,-40.0,Quarta-feira
58995,525,2017-10-05,Saque,-100.0,Quinta-feira
71831,525,2017-10-21,Saque,-1330.0,Sábado
2923,781,2014-09-27,Saque,-145.0,Sábado
8520,781,2014-10-31,Saque,-320.0,Sexta-feira
15369,781,2015-04-18,Saque,-170.0,Sábado
15704,781,2015-04-19,Saque,-385.0,Domingo
21972,781,2015-10-19,Saque,-185.0,Segunda-feira
16383,14,2022-08-05,Saque,-165.0,Sexta-feira
45047,14,2022-12-29,Saque,-90.0,Quinta-feira
30353,270,2021-12-10,Saque,-195.0,Sexta-feira
55044,526,2022-09-18,Saque,-40.0,Domingo
63896,526,2022-12-10,Saque,-345.0,Sábado
67818,526,2022-12-29,Saque,-325.0,Quinta-feira
16318,782,2019-03-14,Saque,-105.0,Quinta-feira
21680,782,2019-04-03,Saque,-570.0,Quarta-feira
52349,782,2021-07-15,Saque,-100.0,Quinta-feira
69692,782,2022-02-15,Saque,-115.0,Terça-feira
12765,15,2022-12-27,Saque,-225.0,Terça-feira
24592,15,2022-12-29,Saque,-650.0,Quinta-feira
29490,15,2022-12-30,Saque,-340.0,Sexta-feira
17546,527,2020-08-28,Saque,-430.0,Sexta-feira
53568,527,2020-12-03,Saque,-220.0,Quinta-feira
54494,527,2020-12-03,Saque,-100.0,Quinta-feira
63644,527,2021-04-19,Saque,-145.0,Segunda-feira
46412,783,2017-11-27,Saque,-995.0,Segunda-feira
51490,783,2018-11-13,Saque,-425.0,Terça-feira
68914,783,2019-01-07,Saque,-190.0,Segunda-feira
30688,16,2021-11-20,Saque,-140.0,Sábado
37624,272,2022-12-29,Saque,-95.0,Quinta-feira
59712,272,2022-12-29,Saque,-280.0,Quinta-feira
13562,528,2016-04-12,Saque,-50.0,Terça-feira
52966,528,2017-03-13,Saque,-650.0,Segunda-feira
55668,528,2017-03-25,Saque,-220.0,Sábado
60003,528,2017-04-04,Saque,-300.0,Terça-feira
69033,528,2018-09-03,Saque,-190.0,Segunda-feira
19616,784,2022-12-27,Saque,-265.0,Terça-feira
36328,784,2022-12-29,Saque,-170.0,Quinta-feira
37823,784,2022-12-29,Saque,-615.0,Quinta-feira
40577,784,2022-12-29,Saque,-710.0,Quinta-feira
41410,784,2022-12-29,Saque,-195.0,Quinta-feira
12574,17,2022-04-27,Saque,-60.0,Quarta-feira
2893,273,2020-08-03,Saque,-380.0,Segunda-feira
50087,273,2022-12-29,Saque,-345.0,Quinta-feira
23691,529,2020-09-03,Saque,-70.0,Quinta-feira
27407,529,2020-10-19,Saque,-25.0,Segunda-feira
27619,529,2020-10-24,Saque,-290.0,Sábado
14532,785,2021-06-23,Saque,-110.0,Quarta-feira
21278,785,2021-08-10,Saque,-105.0,Terça-feira
68099,785,2022-12-29,Saque,-85.0,Quinta-feira
33798,18,2022-12-29,Saque,-655.0,Quinta-feira
37757,18,2022-12-29,Saque,-1335.0,Quinta-feira
33902,274,2022-12-29,Saque,-1590.0,Quinta-feira
42236,274,2022-12-30,Saque,-530.0,Sexta-feira
2013,530,2018-03-24,Saque,-245.0,Sábado
13414,530,2018-04-20,Saque,-115.0,Sexta-feira
65181,530,2019-03-02,Saque,-425.0,Sábado
52088,786,2022-12-30,Saque,-585.0,Sexta-feira
57126,786,2022-12-30,Saque,-60.0,Sexta-feira
1651,19,2019-10-12,Saque,-140.0,Sábado
10991,19,2019-10-23,Saque,-245.0,Quarta-feira
43122,19,2022-01-03,Saque,-405.0,Segunda-feira
57514,19,2022-12-29,Saque,-155.0,Quinta-feira
58572,19,2022-12-29,Saque,-50.0,Quinta-feira
59582,19,2022-12-29,Saque,-120.0,Quinta-feira
70625,19,2022-12-29,Saque,-80.0,Quinta-feira
36169,275,2022-12-29,Saque,-335.0,Quinta-feira
44206,275,2022-12-29,Saque,-90.0,Quinta-feira
52892,275,2022-12-30,Saque,-60.0,Sexta-feira
50541,787,2022-12-19,Saque,-120.0,Segunda-feira
59395,787,2022-12-29,Saque,-80.0,Quinta-feira
25643,20,2022-09-16,Saque,-30.0,Sexta-feira
49327,20,2022-11-15,Saque,-65.0,Terça-feira
35973,276,2022-11-20,Saque,-40.0,Domingo
24369,532,2022-03-09,Saque,-190.0,Quarta-feira
17406,788,2022-01-29,Saque,-30.0,Sábado
40208,788,2022-12-07,Saque,-180.0,Quarta-feira
3144,21,2016-07-29,Saque,-65.0,Sexta-feira
23424,21,2017-10-28,Saque,-25.0,Sábado
29011,21,2017-11-26,Saque,-80.0,Domingo
47439,21,2022-07-23,Saque,-215.0,Sábado
48985,21,2022-08-12,Saque,-215.0,Sexta-feira
55260,21,2022-09-15,Saque,-195.0,Quinta-feira
18527,277,2015-05-15,Saque,-140.0,Sexta-feira
17385,533,2021-12-12,Saque,-205.0,Domingo
46784,533,2022-12-28,Saque,-275.0,Quarta-feira
15662,789,2022-05-21,Saque,-205.0,Sábado
41000,789,2022-12-28,Saque,-125.0,Quarta-feira
70082,789,2022-12-30,Saque,-190.0,Sexta-feira
5005,22,2020-12-13,Saque,-80.0,Domingo
67390,22,2022-12-30,Saque,-60.0,Sexta-feira
34251,278,2022-11-22,Saque,-730.0,Terça-feira
70173,278,2022-12-29,Saque,-120.0,Quinta-feira
71881,278,2022-12-29,Saque,-305.0,Quinta-feira
1171,534,2015-02-12,Saque,-680.0,Quinta-feira
4094,534,2015-02-12,Saque,-170.0,Quinta-feira
39044,534,2017-09-27,Saque,-130.0,Quarta-feira
19747,23,2016-12-04,Saque,-70.0,Domingo
31337,23,2017-03-20,Saque,-70.0,Segunda-feira
35403,23,2018-05-17,Saque,-190.0,Quinta-feira
41421,23,2018-07-03,Saque,-235.0,Terça-feira
18855,279,2022-12-19,Saque,-125.0,Segunda-feira
26131,279,2022-12-29,Saque,-85.0,Quinta-feira
33007,279,2022-12-29,Saque,-25.0,Quinta-feira
2685,535,2014-09-10,Saque,-230.0,Quarta-feira
42769,535,2020-04-18,Saque,-40.0,Sábado
65869,535,2021-01-11,Saque,-55.0,Segunda-feira
2844,791,2015-11-12,Saque,-105.0,Quinta-feira
3563,791,2015-11-13,Saque,-490.0,Sexta-feira
7088,791,2015-11-13,Saque,-110.0,Sexta-feira
30009,791,2018-07-19,Saque,-35.0,Quinta-feira
63281,791,2022-12-20,Saque,-530.0,Terça-feira
16839,24,2018-10-09,Saque,-70.0,Terça-feira
49431,24,2022-12-29,Saque,-40.0,Quinta-feira
57412,24,2022-12-29,Saque,-195.0,Quinta-feira
3603,280,2018-04-20,Saque,-330.0,Sexta-feira
5471,280,2018-09-18,Saque,-135.0,Terça-feira
6197,280,2018-09-23,Saque,-270.0,Domingo
10769,280,2018-09-25,Saque,-110.0,Terça-feira
11437,280,2018-12-01,Saque,-995.0,Sábado
18976,280,2019-01-23,Saque,-635.0,Quarta-feira
22681,280,2019-05-10,Saque,-690.0,Sexta-feira
33674,280,2019-09-13,Saque,-175.0,Sexta-feira
39457,280,2020-04-07,Saque,-95.0,Terça-feira
48412,280,2020-10-03,Saque,-425.0,Sábado
50333,280,2020-10-17,Saque,-455.0,Sábado
53248,280,2020-10-18,Saque,-35.0,Domingo
56572,280,2020-10-18,Saque,-70.0,Domingo
63302,280,2022-08-30,Saque,-105.0,Terça-feira
51839,536,2022-12-30,Saque,-200.0,Sexta-feira
61545,792,2022-12-29,Saque,-90.0,Quinta-feira
10019,25,2022-11-07,Saque,-255.0,Segunda-feira
31281,25,2022-12-29,Saque,-870.0,Quinta-feira
33345,25,2022-12-29,Saque,-875.0,Quinta-feira
35094,281,2022-12-29,Saque,-50.0,Quinta-feira
70958,281,2022-12-30,Saque,-570.0,Sexta-feira
3929,537,2020-03-27,Saque,-455.0,Sexta-feira
17782,537,2020-11-12,Saque,-670.0,Quinta-feira
44925,537,2022-10-19,Saque,-255.0,Quarta-feira
67305,537,2022-12-29,Saque,-185.0,Quinta-feira
70829,793,2022-12-30,Saque,-225.0,Sexta-feira
4943,26,2012-09-06,Saque,-150.0,Quinta-feira
10865,26,2012-09-30,Saque,-55.0,Domingo
28725,26,2013-06-06,Saque,-45.0,Quinta-feira
30225,26,2013-10-08,Saque,-130.0,Terça-feira
37368,26,2014-01-15,Saque,-135.0,Quarta-feira
46435,26,2020-07-07,Saque,-85.0,Terça-feira
65398,26,2020-10-29,Saque,-180.0,Quinta-feira
67346,26,2020-11-14,Saque,-75.0,Sábado
8362,282,2017-11-04,Saque,-245.0,Sábado
16477,282,2017-11-20,Saque,-155.0,Segunda-feira
32820,282,2022-12-29,Saque,-40.0,Quinta-feira
39350,282,2022-12-29,Saque,-435.0,Quinta-feira
46876,282,2022-12-30,Saque,-655.0,Sexta-feira
69312,282,2022-12-30,Saque,-95.0,Sexta-feira
23291,794,2021-06-10,Saque,-180.0,Quinta-feira
28129,794,2021-06-13,Saque,-475.0,Domingo
41272,794,2021-09-19,Saque,-40.0,Domingo
26056,27,2022-12-29,Saque,-95.0,Quinta-feira
42701,27,2022-12-30,Saque,-85.0,Sexta-feira
23210,283,2019-01-29,Saque,-900.0,Terça-feira
39074,283,2019-04-19,Saque,-615.0,Sexta-feira
48379,283,2019-06-09,Saque,-435.0,Domingo
63656,283,2020-02-04,Saque,-215.0,Terça-feira
9830,539,2011-05-06,Saque,-630.0,Sexta-feira
18089,539,2012-02-21,Saque,-195.0,Terça-feira
24017,539,2012-02-24,Saque,-175.0,Sexta-feira
45524,539,2012-09-28,Saque,-60.0,Sexta-feira
46015,539,2012-10-27,Saque,-80.0,Sábado
51725,539,2013-03-19,Saque,-205.0,Terça-feira
60734,539,2015-02-02,Saque,-140.0,Segunda-feira
62231,539,2015-02-03,Saque,-95.0,Terça-feira
5485,795,2022-03-29,Saque,-285.0,Terça-feira
26351,795,2022-12-29,Saque,-345.0,Quinta-feira
7169,28,2017-04-27,Saque,-35.0,Quinta-feira
31816,28,2017-08-15,Saque,-1335.0,Terça-feira
39994,28,2017-10-20,Saque,-325.0,Sexta-feira
70497,28,2019-11-24,Saque,-305.0,Domingo
3129,284,2020-03-09,Saque,-50.0,Segunda-feira
37031,540,2020-01-12,Saque,-675.0,Domingo
37456,540,2020-01-12,Saque,-250.0,Domingo
37681,540,2020-01-12,Saque,-185.0,Domingo
42280,540,2020-01-13,Saque,-390.0,Segunda-feira
55719,540,2021-05-15,Saque,-595.0,Sábado
57393,540,2021-05-17,Saque,-45.0,Segunda-feira
57605,540,2021-05-17,Saque,-355.0,Segunda-feira
71755,540,2021-08-19,Saque,-140.0,Quinta-feira
1177,796,2019-11-29,Saque,-130.0,Sexta-feira
4904,796,2020-03-15,Saque,-95.0,Domingo
18721,796,2020-04-01,Saque,-900.0,Quarta-feira
25522,796,2020-11-24,Saque,-185.0,Terça-feira
29600,796,2020-12-23,Saque,-140.0,Quarta-feira
52239,796,2022-05-31,Saque,-320.0,Terça-feira
60745,796,2022-07-13,Saque,-1615.0,Quarta-feira
22968,29,2022-06-23,Saque,-70.0,Quinta-feira
8258,285,2017-08-25,Saque,-250.0,Sexta-feira
11944,285,2020-12-29,Saque,-45.0,Terça-feira
17249,285,2022-12-09,Saque,-25.0,Sexta-feira
43416,285,2022-12-29,Saque,-910.0,Quinta-feira
46164,285,2022-12-30,Saque,-355.0,Sexta-feira
49423,285,2022-12-30,Saque,-395.0,Sexta-feira
5523,541,2019-06-03,Saque,-35.0,Segunda-feira
26073,541,2021-12-14,Saque,-20.0,Terça-feira
57042,541,2022-12-12,Saque,-75.0,Segunda-feira
39711,797,2022-12-30,Saque,-40.0,Sexta-feira
49643,797,2022-12-30,Saque,-75.0,Sexta-feira
26752,30,2020-03-12,Saque,-180.0,Quinta-feira
54108,30,2022-12-29,Saque,-50.0,Quinta-feira
15265,286,2021-11-22,Saque,-680.0,Segunda-feira
15849,286,2021-11-22,Saque,-285.0,Segunda-feira
44216,286,2022-05-06,Saque,-395.0,Sexta-feira
57024,286,2022-12-26,Saque,-300.0,Segunda-feira
25019,542,2022-07-25,Saque,-35.0,Segunda-feira
54916,542,2022-12-30,Saque,-105.0,Sexta-feira
35248,798,2017-05-11,Saque,-500.0,Quinta-feira
51268,798,2017-09-04,Saque,-270.0,Segunda-feira
19754,31,2018-10-29,Saque,-205.0,Segunda-feira
30617,31,2018-12-07,Saque,-40.0,Sexta-feira
37663,31,2019-02-04,Saque,-105.0,Segunda-feira
47865,31,2021-08-28,Saque,-475.0,Sábado
50032,31,2021-08-29,Saque,-990.0,Domingo
16148,287,2022-08-17,Saque,-120.0,Quarta-feira
21273,287,2022-09-13,Saque,-105.0,Terça-feira
61249,287,2022-12-29,Saque,-185.0,Quinta-feira
27328,543,2018-08-08,Saque,-110.0,Quarta-feira
48340,799,2022-12-30,Saque,-80.0,Sexta-feira
24722,32,2018-07-07,Saque,-20.0,Sábado
31919,32,2018-07-11,Saque,-50.0,Quarta-feira
33771,32,2018-12-29,Saque,-190.0,Sábado
36235,32,2019-01-22,Saque,-165.0,Terça-feira
53669,32,2020-04-15,Saque,-95.0,Quarta-feira
6090,288,2018-12-24,Saque,-175.0,Segunda-feira
22399,288,2020-09-10,Saque,-80.0,Quinta-feira
31271,288,2021-10-09,Saque,-145.0,Sábado
28695,544,2020-07-07,Saque,-770.0,Terça-feira
4960,800,2015-03-30,Saque,-305.0,Segunda-feira
13086,800,2015-11-14,Saque,-85.0,Sábado
22727,800,2015-11-21,Saque,-280.0,Sábado
28564,800,2016-02-04,Saque,-225.0,Quinta-feira
54850,800,2022-12-29,Saque,-185.0,Quinta-feira
67087,800,2022-12-30,Saque,-50.0,Sexta-feira
31569,33,2022-09-10,Saque,-60.0,Sábado
42251,33,2022-12-30,Saque,-135.0,Sexta-feira
55700,33,2022-12-30,Saque,-210.0,Sexta-feira
32461,289,2022-12-29,Saque,-85.0,Quinta-feira
54549,289,2022-12-29,Saque,-60.0,Quinta-feira
16271,545,2020-08-29,Saque,-100.0,Sábado
23930,545,2020-09-12,Saque,-40.0,Sábado
27628,545,2020-09-12,Saque,-150.0,Sábado
13581,801,2021-02-28,Saque,-110.0,Domingo
43907,801,2022-12-10,Saque,-25.0,Sábado
60728,801,2022-12-29,Saque,-40.0,Quinta-feira
65110,801,2022-12-29,Saque,-290.0,Quinta-feira
21492,34,2022-12-30,Saque,-50.0,Sexta-feira
22413,34,2022-12-30,Saque,-125.0,Sexta-feira
29138,34,2022-12-30,Saque,-20.0,Sexta-feira
34974,34,2022-12-30,Saque,-175.0,Sexta-feira
31856,290,2022-03-02,Saque,-135.0,Quarta-feira
69965,290,2022-12-29,Saque,-1280.0,Quinta-feira
16243,546,2022-02-22,Saque,-290.0,Terça-feira
27647,546,2022-12-29,Saque,-490.0,Quinta-feira
52098,546,2022-12-30,Saque,-495.0,Sexta-feira
7370,802,2016-01-06,Saque,-335.0,Quarta-feira
11969,802,2016-05-25,Saque,-165.0,Quarta-feira
21000,802,2016-10-01,Saque,-430.0,Sábado
55631,802,2017-06-15,Saque,-570.0,Quinta-feira
18187,35,2016-04-12,Saque,-350.0,Terça-feira
28053,35,2017-01-08,Saque,-105.0,Domingo
28896,35,2017-01-09,Saque,-355.0,Segunda-feira
30980,35,2017-02-23,Saque,-80.0,Quinta-feira
32015,35,2017-03-05,Saque,-120.0,Domingo
46599,35,2017-04-17,Saque,-120.0,Segunda-feira
50351,35,2017-05-06,Saque,-105.0,Sábado
67970,291,2022-09-06,Saque,-165.0,Terça-feira
38530,547,2016-01-03,Saque,-90.0,Domingo
54014,547,2016-08-23,Saque,-190.0,Terça-feira
55485,547,2016-09-07,Saque,-245.0,Quarta-feira
69582,547,2018-01-10,Saque,-770.0,Quarta-feira
47915,803,2022-12-29,Saque,-845.0,Quinta-feira
54939,803,2022-12-29,Saque,-145.0,Quinta-feira
64917,803,2022-12-29,Saque,-220.0,Quinta-feira
16301,36,2016-09-04,Saque,-50.0,Domingo
48750,36,2022-12-18,Saque,-360.0,Domingo
28130,292,2020-12-01,Saque,-295.0,Terça-feira
50760,292,2022-05-11,Saque,-885.0,Quarta-feira
60412,292,2022-11-03,Saque,-135.0,Quinta-feira
18951,548,2022-12-29,Saque,-185.0,Quinta-feira
58312,548,2022-12-29,Saque,-340.0,Quinta-feira
61548,548,2022-12-29,Saque,-295.0,Quinta-feira
14490,804,2013-10-24,Saque,-95.0,Quinta-feira
17915,804,2013-11-18,Saque,-680.0,Segunda-feira
45181,804,2014-09-25,Saque,-160.0,Quinta-feira
57493,804,2015-10-19,Saque,-155.0,Segunda-feira
69514,37,2022-12-30,Saque,-525.0,Sexta-feira
3437,293,2018-11-13,Saque,-65.0,Terça-feira
29736,293,2020-11-07,Saque,-295.0,Sábado
39687,549,2020-12-01,Saque,-175.0,Terça-feira
62193,805,2022-12-30,Saque,-385.0,Sexta-feira
64211,805,2022-12-30,Saque,-810.0,Sexta-feira
69255,805,2022-12-30,Saque,-445.0,Sexta-feira
34343,38,2022-12-05,Saque,-80.0,Segunda-feira
1567,294,2021-05-13,Saque,-95.0,Quinta-feira
12404,294,2022-05-27,Saque,-40.0,Sexta-feira
49443,294,2022-12-29,Saque,-180.0,Quinta-feira
13839,550,2022-04-10,Saque,-50.0,Domingo
24862,550,2022-07-19,Saque,-160.0,Terça-feira
41548,550,2022-12-30,Saque,-170.0,Sexta-feira
53947,295,2022-11-17,Saque,-650.0,Quinta-feira
19060,551,2018-08-10,Saque,-225.0,Sexta-feira
25574,551,2019-02-23,Saque,-915.0,Sábado
10808,807,2022-12-29,Saque,-140.0,Quinta-feira
24402,807,2022-12-29,Saque,-45.0,Quinta-feira
27353,807,2022-12-29,Saque,-190.0,Quinta-feira
5223,40,2015-10-11,Saque,-65.0,Domingo
31042,40,2022-06-13,Saque,-95.0,Segunda-feira
20644,296,2017-01-16,Saque,-175.0,Segunda-feira
40533,296,2018-12-13,Saque,-25.0,Quinta-feira
46346,552,2022-12-29,Saque,-285.0,Quinta-feira
49451,552,2022-12-29,Saque,-90.0,Quinta-feira
14941,808,2017-04-21,Saque,-200.0,Sexta-feira
14748,41,2020-11-22,Saque,-925.0,Domingo
54732,41,2022-12-30,Saque,-100.0,Sexta-feira
7306,297,2018-09-10,Saque,-180.0,Segunda-feira
8694,297,2018-09-20,Saque,-100.0,Quinta-feira
20940,297,2019-01-16,Saque,-200.0,Quarta-feira
27168,297,2019-08-01,Saque,-285.0,Quinta-feira
52645,297,2020-02-05,Saque,-230.0,Quarta-feira
53554,297,2020-02-06,Saque,-340.0,Quinta-feira
55376,297,2020-02-15,Saque,-200.0,Sábado
58324,297,2020-02-17,Saque,-605.0,Segunda-feira
1896,553,2017-11-18,Saque,-160.0,Sábado
13851,553,2018-03-30,Saque,-295.0,Sexta-feira
51457,553,2021-01-07,Saque,-235.0,Quinta-feira
1343,809,2021-05-27,Saque,-105.0,Quinta-feira
50967,809,2022-11-07,Saque,-65.0,Segunda-feira
68839,42,2021-09-26,Saque,-580.0,Domingo
2897,298,2012-05-22,Saque,-165.0,Terça-feira
23855,298,2013-06-12,Saque,-225.0,Quarta-feira
11005,554,2022-12-13,Saque,-320.0,Terça-feira
43262,554,2022-12-29,Saque,-65.0,Quinta-feira
1453,810,2017-09-27,Saque,-200.0,Quarta-feira
2665,810,2017-10-05,Saque,-50.0,Quinta-feira
20497,810,2020-02-12,Saque,-25.0,Quarta-feira
30064,810,2020-03-17,Saque,-165.0,Terça-feira
